failed to get console mode for stdout: The handle is invalid.
grafana-1  | logger=plugin.store t=2026-03-21T15:56:42.451413823Z level=info msg="Plugins loaded" count=57 duration=333.552949ms
grafana-1  | logger=secret-migrator t=2026-03-21T15:56:42.452503947Z level=info msg="Locking database"
grafana-1  | logger=secret-migrator t=2026-03-21T15:56:42.452531747Z level=info msg="Starting DB migrations"
grafana-1  | logger=secret-migrator t=2026-03-21T15:56:42.453662072Z level=info msg="migrations completed" performed=0 skipped=33 duration=69.202??s
grafana-1  | logger=secret-migrator t=2026-03-21T15:56:42.454164282Z level=info msg="Unlocking database"
grafana-1  | logger=resource-db t=2026-03-21T15:56:42.454935799Z level=info msg="Using database section" db_type=sqlite3
grafana-1  | logger=resource-db t=2026-03-21T15:56:42.455121503Z level=info msg="Initializing Resource DB" db_type=sqlite3 open_conn=0 in_use_conn=0 idle_conn=0 max_open_conn=0
grafana-1  | logger=resource-migrator t=2026-03-21T15:56:42.462536162Z level=info msg="Locking database"
grafana-1  | logger=resource-migrator t=2026-03-21T15:56:42.462570363Z level=info msg="Starting DB migrations"
grafana-1  | logger=resource-migrator t=2026-03-21T15:56:42.469207905Z level=info msg="migrations completed" performed=0 skipped=41 duration=113.703??s
grafana-1  | logger=resource-migrator t=2026-03-21T15:56:42.469569213Z level=info msg="Unlocking database"
grafana-1  | t=2026-03-21T15:56:42.469747016Z level=info caller=logger.go:214 time=2026-03-21T15:56:42.469735516Z msg="Using channel notifier" logger=sql-resource-server
grafana-1  | logger=resource-search t=2026-03-21T15:56:42.470185926Z level=info msg="search index initialized" duration_secs=0 total_docs=0
grafana-1  | logger=storage.unified.migrations t=2026-03-21T15:56:42.472168368Z level=info msg="Running migrations for unified storage"
grafana-1  | logger=storage.unified.migrations t=2026-03-21T15:56:42.472374873Z level=info msg="Auto-migration already completed, enabling mode 5 for resources" migration=folders-dashboards
grafana-1  | logger=storage.unified.migrations t=2026-03-21T15:56:42.472403973Z level=info msg="Migration is disabled in config, skipping" migration=shorturls
grafana-1  | logger=unifiedstorage-migrator t=2026-03-21T15:56:42.472445474Z level=info msg="Locking database"
grafana-1  | logger=unifiedstorage-migrator t=2026-03-21T15:56:42.472464275Z level=info msg="Starting DB migrations"
grafana-1  | logger=unifiedstorage-migrator t=2026-03-21T15:56:42.472842783Z level=info msg="migrations completed" performed=0 skipped=3 duration=11.1??s
grafana-1  | logger=unifiedstorage-migrator t=2026-03-21T15:56:42.473149089Z level=info msg="Unlocking database"
grafana-1  | logger=storage.unified.migrations t=2026-03-21T15:56:42.47319669Z level=info msg="Unified storage migrations completed successfully"
grafana-1  | logger=annotations t=2026-03-21T15:56:42.474740623Z level=info msg="Starting annotation dashboard_uid migration in background"
grafana-1  | logger=annotations t=2026-03-21T15:56:42.474770124Z level=info msg="Starting batched dashboard_uid migration for annotations (newest first)" batchSize=5000
grafana-1  | logger=annotations t=2026-03-21T15:56:42.475318036Z level=info msg="Completed dashboard_uid migration for annotations" totalUpdated=0
grafana-1  | logger=annotations t=2026-03-21T15:56:42.475343936Z level=info msg="Annotation dashboard_uid migration completed successfully"
grafana-1  | logger=live.push_http t=2026-03-21T15:56:42.480414245Z level=info msg="Live Push Gateway initialization"
grafana-1  | logger=ngalert.notifier t=2026-03-21T15:56:42.482258985Z level=info component=alertmanager orgID=1 msg="template definitions loaded" mimir=0 grafana=0 total=0 maxTemplateOutput=10485760
grafana-1  | logger=ngalert.notifier component=alertmanager orgID=1 t=2026-03-21T15:56:42.483179304Z level=info msg="Applying new configuration to Alertmanager" configHash=166dbc8552660bc83256def4ec6c992d
grafana-1  | logger=ngalert.notifier t=2026-03-21T15:56:42.483207505Z level=info component=alertmanager orgID=1 msg="template definitions loaded" mimir=0 grafana=0 total=0 maxTemplateOutput=10485760
grafana-1  | logger=ngalert.writer t=2026-03-21T15:56:42.516790525Z level=info msg="Setting up remote write using data sources" timeout=30s default_datasource_uid=
grafana-1  | logger=ngalert t=2026-03-21T15:56:42.516867726Z level=info msg="Using protobuf-based alert instance store"
grafana-1  | logger=ngalert.state.manager.persist t=2026-03-21T15:56:42.516877626Z level=info msg="Using sync rule state persister (compressed)"
grafana-1  | logger=query_data t=2026-03-21T15:56:42.517468139Z level=info msg="Query Service initialization"
grafana-1  | logger=infra.usagestats.collector t=2026-03-21T15:56:42.519585785Z level=info msg="registering usage stat providers" usageStatsProvidersLen=2
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:42.622288586Z level=info msg=starting module=tracing
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:42.622369387Z level=info msg=starting module=grafana-apiserver
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.860527492Z level=info msg="Adding GroupVersion preferences.grafana.app v1alpha1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.862487834Z level=info msg="Adding GroupVersion collections.grafana.app v1alpha1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.862931243Z level=info msg="Adding GroupVersion features.grafana.app v0alpha1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.86651642Z level=info msg="Adding GroupVersion dashboard.grafana.app v1beta1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.86698863Z level=info msg="Adding GroupVersion dashboard.grafana.app v0alpha1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.86742434Z level=info msg="Adding GroupVersion dashboard.grafana.app v2beta1 to ResourceManager"
